STT,Khu vực,Tên đơn vị,Tên đơn vị cũ,Liên cấp,Tên miền,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
22,Quận 5,"Phổ Thông Năng Khiếu, Đhqg-Hcm","phổ thông năng khiếu, đhqg-hcm",Không,https://ptnk.edu.vn,Có,,,,,,,,,,,,,,,,58,60,46,19,13,7,39,26,8,4,38
23,Quận 5,Trung Học Thực Hành Đại Học Sư Phạm Tp.Hcm,trung học thực hành đại học sư phạm tp.hcm,Không,http://trunghocthuchanhdhsp.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,0,2,2,4
24,Quận 5,Lê Hồng Phong,lê hồng phong,Không,http://www.thpt-lehongphong-tphcm.edu.vn,Có,,,Có,,,,,,,,,,,,,109,120,86,43,11,5,59,50,10,0,60
25,Quận 5,Hùng Vương,hùng vương,Không,https://thpthungvuong.hcm.edu.vn,Có,,,,21.9,22,22.5,19.25,19.75,20.5,22.5,23,24,18.25,18.75,19.75,0,0,0,,,,,,,,
26,Quận 5,Thực Hành Đhsp,thực hành đhsp,Không,http://trunghocthuchanhdhsp.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
27,Quận 5,Pt Năng Khiếu Đại Học Quốc Gia,pt năng khiếu đại học quốc gia,Không,http://www.ptnk.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
28,Quận 5,Trần Khai Nguyên,trần khai nguyên,Không,https://thpttrankhainguyen.hcm.edu.vn,Có,,,,23.6,24,24.2,21.25,21.5,22,14.25,14.5,15.5,19.75,20,20.25,0,0,0,,,,,,,,
132,Quận 5,Nguyễn Bỉnh Khiêm,nguyễn bỉnh khiêm,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
133,Quận 5,An Đông,an đông,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
134,Quận 5,Thăng Long,thăng long,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
136,Quận 5,Khai Trí,khai trí,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
137,Quận 5,Văn Lang,văn lang,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
138,Quận 5,Quang Trung Nguyễn Huệ,quang trung nguyễn huệ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
29,Quận 6,Mạc Đĩnh Chi,mạc đĩnh chi,Không,https://thptmacdinhchi.hcm.edu.vn,Có,,,Có,25.2,25.4,25.9,23.25,23.5,23.75,21,21.5,21.75,22.5,23.5,23.75,1,0,1,2,8,15,25,3,12,16,31
30,Quận 6,Nguyễn Tất Thành,nguyễn tất thành,Không,https://thptnguyentatthanh.hcm.edu.vn,Có,,,,21.1,21.4,21.6,17.75,18,18.25,15.5,16,16.75,17,17.25,18,0,0,0,,,,,,,,
